PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,xcoord,ycoord
1,Nam Poui,Nam Poui,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,101.31519152168548,18.620564455618073
1,Phou Khao Khuay,Phou Khao Khuay,National Park,National Park,National,VI,Not Applicable,Designated,2021,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,103.0140515553162,18.416530812677678
1,Xe Pian,Xe Pian,National Park,National Park,National,VI,Not Applicable,Designated,2021,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.13269817302705,14.479489019619473
1,Phou Daen Din,Phou Daen Din,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,102.36499963307033,21.983423129311362
1,Phou Xang He,Phou Xang He,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,105.7368589037126,16.86932259684761
1,Dong Ampham,Dong Ampham,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,107.40703978133934,14.947428386503125
1,Xe Bang Nouan,Xe Bang Nouan,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,105.93380511686004,15.881336083133776
1,Dong Hua Sao,Dong Hua Sao,National Park,National Park,National,VI,Not Applicable,Designated,2021,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.09771211816086,15.00189031813244
1,Phou Xieng Thong,Phou Xieng Thong,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,105.6340980745121,15.574867968153505
1,Nam Kading,Nam Kading,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Process,State Verified,1982,104.26550196921491,18.408211905442496
1,Nam Xam,Nam Xam,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,104.58525255698,20.130720538877117
1,Phou Hin Poun,Phou Hin Poun,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Process,State Verified,1982,104.7985351686367,17.789183603310754
1,Nam Ha,Nam Ha,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,101.28292144711898,20.932660091216697
1,Nam Kan,Nam Kan,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2008,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,100.82245858500332,20.54303685963603
1,Xe Xap,Xe Xap,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1996,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,107.01816370100131,16.115286619551345
1,Phou Pha Nang,Phou Pha Nang,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,102.33938853803957,18.25048112585813
1,Dong Phou Vieng,Dong Phou Vieng,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.23647623441771,16.40204369428329
1,Nam Et-Phouloey,Nam Et-Phouloey,National Park,National Park,National,II,Not Applicable,Designated,2019,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,103.40471792120472,20.382654548623844
1,Hin Nam No,Hin Nam No,National Park,National Park,National,II,Not Applicable,Designated,2020,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,105.93055592890356,17.418067603780525
1,Hin Nam No,Hin Nam No,National Park,National Park,National,II,Not Applicable,Designated,2020,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,106.18870849356905,17.282796965607425
1,Nakai-Nam Teun,Nakai-Nam Teun,National Park,National Park,National,II,Not Applicable,Designated,2019,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,105.33019619473986,17.91204665710417
1,Phou Hi Phi,Phou Hi Phi,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,102.20626219465586,20.755841498989618
1,Phou Sabot Phoungchong,Phou Sabot Phoungchong,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2011,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,103.840832521134,19.822822477833643
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.33620449251553,16.92992887607626
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.48929715030634,16.95037564977115
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.48913377900004,16.950278378000043
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.48899198344513,16.950071331924054
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.48911007576177,16.95017304410642
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.48889690893571,16.94990626291843
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.48882220466672,16.949891235333382
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.44606432547083,16.92820964143004
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.3746829353334,16.89164992833338
1,Eld' Deer Sanctuary,Eld' Deer Sanctuary,National Protected Area,National Protected Area,National,IV,Not Applicable,Designated,2020,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,105.72205552123427,16.307556275592347
1,Kounxe Nongma,Kounxe Nongma,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2021,Government-delegated management,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,106.26820820160567,17.135707906774016
1,Nam Poui,Nam Poui,ASEAN Heritage Park,ASEAN Heritage Park,Regional,VI,Not Applicable,Proposed,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,101.31519152168548,18.620564455618073
1,Phou Xieng Thong,Phou Xieng Thong,ASEAN Heritage Park,ASEAN Heritage Park,Regional,VI,Not Applicable,Proposed,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,105.6340980745121,15.574867968153505
1,Yodnammo-Phousamsoum,Yodnammo-Phousamsoum,National Protected Area,National Protected Area,National,Not Reported,Not Applicable,Designated,2022,Government-delegated management,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,103.96932492181753,19.140628067562865
1,Nam Ha,Nam Ha,ASEAN Heritage Park,ASEAN Heritage Park,Regional,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,101.28292144711898,20.932660091216697